# 稳定点数据 | 2026-03-31 17:09:02
index,cmd_x,cmd_y,cmd_z,cmd_rx,cmd_ry,cmd_rz,end_j1,end_j2,end_j3,end_j4,end_j5,end_j6,end_x,end_y,end_z,end_rx,end_ry,end_rz
1,-0.786568,-0.178783,0.713437,-1.294210,-1.257792,1.141907,0.021166,-1.357363,1.567714,-3.254997,-1.624482,0.002042,-0.786563,-0.178759,0.713473,-1.294139,-1.257788,1.141902
2,-0.673415,-0.290956,0.743420,-1.258280,-1.151690,1.138840,0.217319,-1.454576,1.643627,-3.319224,-1.880696,0.001088,-0.673363,-0.290971,0.743445,-1.258250,-1.151589,1.138866
3,-0.660432,-0.262301,0.838473,-1.254834,-1.245789,1.176367,0.163968,-1.526916,1.546843,-3.103166,-1.746321,0.007877,-0.660410,-0.262326,0.838453,-1.254899,-1.245842,1.176422
4,-0.731402,-0.137189,0.856861,-1.089598,-1.290003,1.359001,-0.070299,-1.462290,1.462463,-3.194175,-1.336951,0.009292,-0.731346,-0.137222,0.856943,-1.089501,-1.289932,1.359104
5,-0.640490,-0.153524,0.829936,-1.339771,-1.134135,1.055219,0.003348,-1.616679,1.648626,-3.100273,-1.744391,0.010957,-0.640432,-0.153496,0.829971,-1.339719,-1.133993,1.055247
6,-0.788952,-0.025809,0.800159,-1.075090,-1.129565,1.316035,-0.210079,-1.359259,1.455607,-3.393618,-1.317776,0.035965,-0.788984,-0.025819,0.800090,-1.075214,-1.129592,1.315995
7,-0.778172,-0.319563,0.771776,-1.339469,-1.236023,1.092488,0.223669,-1.307080,1.396246,-3.102346,-1.876844,0.035251,-0.778139,-0.319536,0.771849,-1.339389,-1.235898,1.092484
8,-0.757636,-0.198363,0.895200,-1.236464,-1.092670,1.133536,0.064748,-1.382695,1.301082,-3.097500,-1.762918,-0.010794,-0.757654,-0.198389,0.895164,-1.236464,-1.092743,1.133479
9,-0.756488,-0.296308,0.713944,-1.221378,-1.151971,1.174895,0.195954,-1.312779,1.531028,-3.380684,-1.828922,-0.008580,-0.756482,-0.296273,0.713964,-1.221343,-1.151884,1.174883
10,-0.523145,-0.064253,0.709932,-1.315961,-1.420357,1.155695,-0.260697,-1.875051,2.043798,-3.093722,-1.245560,-0.069904,-0.523111,-0.064250,0.709963,-1.315874,-1.420297,1.155705
11,-0.720032,-0.285000,0.753237,-1.069614,-1.115163,1.315231,0.176381,-1.361875,1.543313,-3.488654,-1.706877,-0.025882,-0.720028,-0.285028,0.753204,-1.069652,-1.115196,1.315207
12,-0.851281,-0.221374,0.744914,-1.151991,-1.192888,1.261327,0.067899,-1.213988,1.350540,-3.333536,-1.607017,-0.006175,-0.851294,-0.221392,0.744908,-1.152050,-1.192839,1.261330
13,-0.696594,-0.196654,0.651958,-1.354672,-1.381876,1.112993,0.045806,-1.490990,1.810907,-3.246133,-1.600665,0.004454,-0.696559,-0.196666,0.651971,-1.354666,-1.381951,1.112916
14,-0.562870,0.004274,0.745925,-1.075498,-1.196793,1.343777,-0.391151,-1.739752,1.934755,-3.466752,-1.080963,0.060997,-0.562849,0.004306,0.745888,-1.075525,-1.196745,1.343718
15,-0.558929,-0.155079,0.744148,-1.266267,-1.179610,1.142241,-0.011437,-1.735027,1.911363,-3.285277,-1.634704,0.001419,-0.558888,-0.155093,0.744184,-1.266150,-1.179558,1.142248
16,-0.859409,-0.013197,0.818568,-1.272021,-1.192062,1.141373,-0.193210,-1.282300,1.296576,-3.111125,-1.446691,-0.009685,-0.859361,-0.013192,0.818628,-1.271870,-1.192039,1.141373
17,-0.860679,-0.149350,0.746072,-1.290651,-1.244922,1.141411,-0.017803,-1.254866,1.380166,-3.179707,-1.593093,-0.002009,-0.860676,-0.149330,0.746054,-1.290758,-1.244904,1.141352
18,-0.690961,-0.352649,0.897121,-1.231923,-1.115891,1.148802,0.303470,-1.380620,1.293914,-3.087620,-1.977100,-0.016327,-0.690919,-0.352654,0.897149,-1.231843,-1.115832,1.148781
19,-0.753814,-0.068563,0.862862,-1.349017,-1.334157,1.109294,-0.148069,-1.481164,1.431813,-2.906230,-1.441343,-0.027371,-0.753828,-0.068515,0.862856,-1.348951,-1.334111,1.109124
20,-0.772326,-0.204997,0.706602,-0.999828,-1.087081,1.378899,0.045183,-1.295270,1.551643,-3.633001,-1.536083,0.004778,-0.772307,-0.204977,0.706565,-0.999877,-1.087083,1.378874
21,-0.823572,-0.186425,0.801434,-1.228514,-1.158722,1.170672,0.034858,-1.290028,1.345636,-3.207270,-1.667926,-0.004988,-0.823590,-0.186457,0.801388,-1.228495,-1.158866,1.170571
22,-0.641816,-0.142146,0.880612,-1.405777,-1.202256,1.021110,-0.019253,-1.634012,1.559590,-2.902560,-1.710675,0.021273,-0.641857,-0.142147,0.880530,-1.405912,-1.202301,1.021080
23,-0.523070,-0.004027,0.714126,-1.241538,-1.225253,1.182717,-0.385687,-1.844908,2.048018,-3.306301,-1.202999,-0.013683,-0.523071,-0.004003,0.714085,-1.241501,-1.225333,1.182638
24,-0.790393,-0.198554,0.774056,-1.137479,-1.255907,1.298249,0.032742,-1.336353,1.456357,-3.293936,-1.508590,-0.001424,-0.790462,-0.198489,0.773972,-1.137675,-1.255892,1.298154
25,-0.748960,-0.090027,0.941551,-1.183831,-1.168850,1.219324,-0.115438,-1.434134,1.280548,-3.029542,-1.472703,0.000652,-0.749001,-0.089949,0.941521,-1.183897,-1.168839,1.219262
26,-0.653872,-0.296657,0.842850,-1.168904,-1.384429,1.296748,0.195096,-1.522967,1.533693,-3.086502,-1.602202,-0.000439,-0.653905,-0.296623,0.842814,-1.168883,-1.384338,1.296712
27,-0.708788,-0.083524,0.688668,-1.299377,-1.079655,1.067915,-0.108513,-1.479166,1.769696,-3.420916,-1.650565,-0.001307,-0.708763,-0.083548,0.688708,-1.299179,-1.079660,1.067914
28,-0.678986,-0.256574,0.831369,-1.158579,-1.327544,1.295825,0.128726,-1.503004,1.539694,-3.153458,-1.568287,-0.002651,-0.678994,-0.256605,0.831304,-1.158635,-1.327663,1.295807
29,-0.681935,-0.032684,0.837157,-1.337375,-1.068540,1.028016,-0.195031,-1.577250,1.603619,-3.128731,-1.603013,-0.000870,-0.681939,-0.032702,0.837114,-1.337422,-1.068594,1.027902
30,-0.553146,-0.314609,0.763414,-1.178130,-1.229252,1.247575,0.288212,-1.620648,1.784155,-3.320131,-1.820862,-0.005226,-0.553143,-0.314650,0.763381,-1.178062,-1.229399,1.247556
31,-0.722910,-0.183207,0.752743,-1.271047,-1.109309,1.108260,0.045535,-1.443135,1.615801,-3.313227,-1.756294,-0.002479,-0.722877,-0.183146,0.752759,-1.271078,-1.109288,1.108116
32,-0.753942,-0.236672,0.762658,-1.112535,-1.242387,1.320193,0.089408,-1.367999,1.519541,-3.353343,-1.553873,-0.002201,-0.753912,-0.236677,0.762667,-1.112540,-1.242292,1.320178
33,-0.619986,-0.041557,0.790669,-1.123494,-1.239767,1.307747,-0.259274,-1.664882,1.782604,-3.315099,-1.218106,0.018087,-0.619958,-0.041566,0.790686,-1.123482,-1.239820,1.307766
34,-0.719775,-0.191475,0.732981,-1.190307,-1.370458,1.272283,0.018796,-1.465861,1.663928,-3.264194,-1.453871,-0.011382,-0.719704,-0.191494,0.733012,-1.190134,-1.370376,1.272241
35,-0.697061,-0.315993,0.813828,-1.195380,-1.304401,1.252411,0.222804,-1.432570,1.489537,-3.157377,-1.710857,0.002793,-0.697071,-0.315946,0.813786,-1.195447,-1.304345,1.252343
36,-0.682686,-0.131805,0.746442,-1.221551,-1.195227,1.191806,-0.056334,-1.535011,1.726640,-3.329713,-1.540675,-0.002105,-0.682721,-0.131758,0.746418,-1.221633,-1.195158,1.191704
37,-0.832753,-0.089426,0.788202,-1.146554,-1.215662,1.275352,-0.111952,-1.299169,1.386646,-3.276392,-1.404195,0.004111,-0.832786,-0.089442,0.788099,-1.146620,-1.215723,1.275322
38,-0.611276,-0.263876,0.820686,-1.186328,-1.103505,1.187999,0.191489,-1.568054,1.640979,-3.291006,-1.838127,-0.022256,-0.611215,-0.263902,0.820701,-1.186250,-1.103506,1.187997
39,-0.756400,-0.276938,0.821087,-1.229028,-1.346345,1.228355,0.149719,-1.378635,1.404476,-3.075422,-1.633771,0.002352,-0.756335,-0.276954,0.821144,-1.228964,-1.346252,1.228366
40,-0.701441,-0.004845,0.740993,-1.138533,-1.188998,1.273799,-0.275776,-1.510351,1.721804,-3.424132,-1.256536,0.020067,-0.701435,-0.004803,0.740958,-1.138639,-1.188942,1.273781
41,-0.657302,-0.131382,0.836991,-1.177997,-1.289461,1.266160,-0.078147,-1.600243,1.629840,-3.151738,-1.407073,-0.005137,-0.657314,-0.131355,0.836954,-1.178003,-1.289529,1.266029
42,-0.818651,-0.188985,0.737402,-1.296377,-1.273246,1.144292,0.033039,-1.311236,1.465586,-3.188752,-1.625844,0.002311,-0.818703,-0.188941,0.737305,-1.296489,-1.273319,1.144129
43,-0.796295,-0.190236,0.853212,-1.312796,-1.420765,1.158805,0.023603,-1.377442,1.325841,-2.886668,-1.521712,-0.013882,-0.796319,-0.190214,0.853203,-1.312726,-1.420733,1.158709
44,-0.647513,-0.129619,0.805551,-1.244524,-1.187822,1.166435,-0.059725,-1.609866,1.694212,-3.207203,-1.562372,-0.001884,-0.647518,-0.129626,0.805517,-1.244576,-1.187776,1.166336
45,-0.582646,-0.184725,0.897174,-1.138519,-1.205397,1.279998,0.025769,-1.680105,1.610389,-3.131391,-1.544196,0.000055,-0.582561,-0.184758,0.897216,-1.138479,-1.205404,1.280096
46,-0.822488,-0.223136,0.781558,-1.146074,-1.108776,1.231365,0.081148,-1.253188,1.346195,-3.339967,-1.687548,-0.016459,-0.822491,-0.223111,0.781553,-1.146017,-1.108797,1.231360
47,-0.753591,-0.175694,0.830223,-1.120958,-1.338637,1.337676,-0.010550,-1.421565,1.454833,-3.172953,-1.387964,-0.003399,-0.753609,-0.175716,0.830161,-1.121042,-1.338681,1.337668
48,-0.517793,-0.127473,0.671967,-1.133844,-1.152785,1.263948,-0.097376,-1.766266,2.086756,-3.554034,-1.461638,0.009943,-0.517760,-0.127480,0.671980,-1.133776,-1.152750,1.263873
49,-0.715767,-0.328817,0.851237,-1.071281,-1.074179,1.292867,0.246329,-1.343349,1.350125,-3.338806,-1.813485,-0.050027,-0.715705,-0.328756,0.851328,-1.071141,-1.074050,1.292863
50,-0.698548,-0.125058,0.934734,-1.083813,-1.318722,1.372636,-0.098387,-1.514723,1.381107,-3.048301,-1.282288,0.008793,-0.698570,-0.125067,0.934687,-1.083852,-1.318766,1.372671
51,-0.684004,-0.175871,0.845031,-1.230884,-1.186333,1.179246,0.021166,-1.530416,1.547665,-3.152448,-1.633428,-0.002102,-0.684011,-0.175841,0.845021,-1.230827,-1.186291,1.179135
52,-0.774747,-0.270816,0.846122,-1.282766,-1.311692,1.167506,0.146250,-1.354217,1.326533,-2.996686,-1.698733,0.011399,-0.774729,-0.270756,0.846128,-1.282910,-1.311558,1.167437
53,-0.619534,-0.083065,0.699355,-1.200548,-1.099927,1.172133,-0.145779,-1.620918,1.907207,-3.490914,-1.516703,0.002265,-0.619545,-0.083084,0.699310,-1.200522,-1.099956,1.172184
54,-0.532565,-0.235253,0.660967,-1.203477,-1.263530,1.232825,0.140463,-1.690194,2.025524,-3.451786,-1.666883,0.001802,-0.532537,-0.235269,0.661026,-1.203351,-1.263542,1.232821
55,-0.663597,-0.155325,0.855395,-1.242266,-1.172724,1.162833,-0.010701,-1.573073,1.572639,-3.132101,-1.622254,-0.001704,-0.663638,-0.155320,0.855298,-1.242373,-1.172873,1.162760
56,-0.543487,-0.045047,0.819943,-1.261276,-1.053150,1.090178,-0.239168,-1.802407,1.841635,-3.214976,-1.515792,0.001465,-0.543472,-0.045011,0.819962,-1.261295,-1.052973,1.090179
57,-0.614763,-0.137664,0.667954,-1.110370,-1.180895,1.300221,-0.067177,-1.589361,1.939635,-3.588144,-1.446827,0.010766,-0.614733,-0.137600,0.667989,-1.110377,-1.180680,1.300189
58,-0.767740,-0.293427,0.748064,-1.317032,-1.340630,1.141041,0.179172,-1.349852,1.484902,-3.113883,-1.734633,0.023488,-0.767747,-0.293448,0.748002,-1.317133,-1.340698,1.141019
59,-0.683573,-0.071087,0.855478,-1.180001,-1.226669,1.244788,-0.170207,-1.566137,1.569174,-3.158639,-1.366446,0.000633,-0.683525,-0.071098,0.855472,-1.179946,-1.226623,1.244740
60,-0.678356,-0.220450,0.932814,-1.096314,-1.301904,1.354989,0.064645,-1.507330,1.376612,-3.050191,-1.469015,0.001059,-0.678319,-0.220484,0.932801,-1.096231,-1.301942,1.355011
61,-0.597894,-0.250817,0.904775,-1.196888,-1.174007,1.208240,0.163961,-1.611123,1.528998,-3.088673,-1.758701,-0.007558,-0.597868,-0.250840,0.904806,-1.196766,-1.173958,1.208225
62,-0.696116,-0.025941,0.757652,-1.118859,-1.180804,1.291211,-0.244638,-1.519394,1.704513,-3.418859,-1.277575,0.024684,-0.696064,-0.025948,0.757687,-1.118824,-1.180699,1.291228
63,-0.644248,-0.278493,0.794834,-1.229140,-1.260304,1.206168,0.190320,-1.535045,1.634113,-3.196069,-1.740466,0.005300,-0.644243,-0.278520,0.794831,-1.229045,-1.260280,1.206164
64,-0.730933,-0.253790,0.937778,-1.206561,-1.050686,1.141307,0.152696,-1.374344,1.222810,-3.077039,-1.864398,-0.029001,-0.730960,-0.253802,0.937746,-1.206474,-1.050742,1.141278
65,-0.591758,0.004181,0.667902,-1.187691,-1.138634,1.202704,-0.340972,-1.669327,2.007955,-3.536526,-1.276753,0.015719,-0.591759,0.004217,0.667834,-1.187795,-1.138594,1.202630
66,-0.658167,-0.256832,0.791737,-1.272332,-1.254064,1.161881,0.156412,-1.533032,1.631757,-3.162738,-1.745803,0.011339,-0.658127,-0.256806,0.791760,-1.272315,-1.254058,1.161853
67,-0.624110,-0.127889,0.788844,-1.077081,-1.180948,1.335899,-0.089881,-1.620866,1.755358,-3.400267,-1.394686,0.020376,-0.624117,-0.127848,0.788849,-1.077128,-1.180802,1.335849
68,-0.651226,0.015673,0.926681,-1.329497,-1.305525,1.121188,-0.327414,-1.647468,1.492645,-2.826809,-1.270591,-0.049681,-0.651246,0.015720,0.926645,-1.329434,-1.305573,1.121093
69,-0.878838,-0.138837,0.798318,-1.263454,-1.384690,1.201515,-0.045398,-1.247361,1.268434,-3.018821,-1.439679,-0.023097,-0.878878,-0.138853,0.798228,-1.263609,-1.384750,1.201546
70,-0.856942,-0.135081,0.803476,-1.165305,-1.071750,1.193348,-0.030566,-1.231658,1.279146,-3.296226,-1.626707,-0.010342,-0.856938,-0.135020,0.803484,-1.165351,-1.071682,1.193302
71,-0.800721,-0.106066,0.834844,-1.165842,-1.223867,1.258310,-0.092090,-1.357952,1.375478,-3.186023,-1.434228,0.000144,-0.800708,-0.106060,0.834808,-1.165892,-1.223899,1.258326
72,-0.771576,-0.307838,0.877348,-1.194356,-1.284969,1.248248,0.191791,-1.318743,1.242996,-3.036559,-1.693837,-0.000429,-0.771566,-0.307863,0.877320,-1.194399,-1.284996,1.248189
73,-0.782450,-0.304437,0.790166,-1.291578,-1.227852,1.135075,0.199176,-1.306674,1.371744,-3.126040,-1.824039,0.016644,-0.782411,-0.304424,0.790182,-1.291640,-1.227791,1.135138
74,-0.726219,-0.146063,0.895711,-1.306942,-1.379945,1.158270,-0.040325,-1.502131,1.398607,-2.862416,-1.482881,-0.018538,-0.726181,-0.145988,0.895782,-1.306888,-1.379833,1.158224
75,-0.780018,-0.193207,0.865350,-1.198548,-1.116120,1.181730,0.048389,-1.350303,1.317163,-3.165873,-1.694237,-0.010797,-0.780076,-0.193143,0.865307,-1.198627,-1.116046,1.181630
76,-0.851448,-0.189533,0.890636,-1.103912,-1.357321,1.359686,0.006621,-1.244899,1.128207,-3.025334,-1.376231,-0.004475,-0.851398,-0.189570,0.890709,-1.103801,-1.357220,1.359701
77,-0.622190,-0.137530,0.857047,-1.267910,-1.134439,1.122351,-0.036166,-1.646952,1.639893,-3.123401,-1.650301,-0.000829,-0.622208,-0.137541,0.857036,-1.267845,-1.134512,1.122348
78,-0.786088,-0.243444,0.679319,-1.160213,-1.291081,1.284897,0.095164,-1.299923,1.573089,-3.409318,-1.563004,-0.003464,-0.786114,-0.243417,0.679271,-1.160190,-1.291120,1.284754
79,-0.846464,-0.046029,0.806635,-1.173292,-1.182990,1.235645,-0.161878,-1.284926,1.334978,-3.234662,-1.404636,0.003217,-0.846424,-0.045965,0.806687,-1.173322,-1.182813,1.235617
80,-0.728954,-0.042241,0.839862,-1.222523,-1.247525,1.208808,-0.200966,-1.502200,1.522623,-3.128628,-1.354361,-0.009836,-0.728899,-0.042226,0.839878,-1.222446,-1.247491,1.208687
81,-0.570926,-0.168573,0.710683,-1.089756,-1.121321,1.296426,-0.001811,-1.657152,1.931776,-3.560177,-1.544857,0.002848,-0.570966,-0.168530,0.710621,-1.089881,-1.121375,1.296372
82,-0.695854,-0.203258,0.940799,-1.184873,-1.211089,1.234382,0.057250,-1.484704,1.334703,-3.010264,-1.610947,-0.003876,-0.695846,-0.203212,0.940813,-1.184904,-1.210997,1.234259
83,-0.524427,-0.086700,0.793002,-1.295978,-1.193516,1.119035,-0.172206,-1.846524,1.904739,-3.134725,-1.485605,-0.005744,-0.524428,-0.086727,0.793014,-1.295797,-1.193566,1.119085
84,-0.613587,-0.152099,0.785969,-1.207986,-1.201935,1.207784,-0.027662,-1.650299,1.770193,-3.265738,-1.552746,-0.001210,-0.613626,-0.152053,0.785953,-1.208092,-1.201884,1.207745
85,-0.622083,-0.195625,0.816286,-1.181338,-1.141185,1.210217,0.059685,-1.604607,1.682343,-3.278058,-1.669396,-0.007604,-0.622067,-0.195572,0.816324,-1.181306,-1.141040,1.210109
86,-0.750028,-0.243158,0.847122,-1.196796,-1.239090,1.231903,0.109870,-1.391243,1.388745,-3.133063,-1.650210,-0.002960,-0.749997,-0.243163,0.847127,-1.196706,-1.239076,1.231932
88,-0.727868,-0.289630,0.832961,-1.214494,-1.318424,1.236599,0.175789,-1.409747,1.425655,-3.092842,-1.668940,0.003159,-0.727938,-0.289600,0.832861,-1.214669,-1.318430,1.236474
89,-0.583447,-0.116096,0.846281,-1.382837,-1.255375,1.058241,-0.086732,-1.750217,1.719204,-2.940025,-1.585527,0.001529,-0.583436,-0.116043,0.846249,-1.382860,-1.255357,1.058169
90,-0.905052,-0.074682,0.799112,-1.319956,-1.292850,1.127058,-0.110720,-1.213345,1.221789,-3.011869,-1.485955,-0.016411,-0.905088,-0.074673,0.799070,-1.319847,-1.292892,1.127085
91,-0.603227,-0.212017,0.768822,-1.190569,-1.135742,1.198545,0.095015,-1.615238,1.775467,-3.355923,-1.717122,-0.009373,-0.603199,-0.211974,0.768831,-1.190562,-1.135683,1.198508
92,-0.749914,-0.359878,0.809351,-1.170078,-1.304352,1.278251,0.263678,-1.315359,1.359150,-3.165134,-1.730093,-0.000475,-0.749866,-0.359891,0.809402,-1.170036,-1.304208,1.278318
93,-0.623780,-0.146172,0.747934,-1.038219,-1.268952,1.408986,-0.073445,-1.608014,1.813306,-3.454127,-1.303747,0.027009,-0.623800,-0.146156,0.747867,-1.038351,-1.268980,1.408857
94,-0.712342,-0.333278,0.884798,-1.391292,-1.193296,1.031043,0.273319,-1.395490,1.302628,-2.889741,-1.997373,0.062995,-0.712304,-0.333218,0.884824,-1.391324,-1.193187,1.031007
95,-0.794990,-0.228123,0.709085,-1.143517,-1.237857,1.286141,0.076466,-1.295426,1.520376,-3.404317,-1.571658,-0.003632,-0.794967,-0.228120,0.709118,-1.143415,-1.237801,1.286024
96,-0.760774,-0.090205,0.940975,-1.128445,-1.262208,1.309665,-0.130235,-1.416343,1.260091,-3.021868,-1.333442,0.005128,-0.760746,-0.090195,0.941013,-1.128493,-1.262144,1.309638
97,-0.761002,-0.259765,0.683686,-1.209589,-1.359428,1.250579,0.120586,-1.348816,1.613241,-3.322169,-1.578984,-0.002457,-0.761024,-0.259718,0.683661,-1.209534,-1.359440,1.250496
98,-0.647433,-0.271907,0.823576,-1.163634,-1.251116,1.269599,0.171200,-1.529978,1.587982,-3.214156,-1.674078,-0.003864,-0.647411,-0.271886,0.823621,-1.163565,-1.251003,1.269555
99,-0.803701,-0.308604,0.798840,-1.181386,-1.187850,1.229295,0.192690,-1.251717,1.303598,-3.228599,-1.761585,-0.010802,-0.803740,-0.308581,0.798770,-1.181466,-1.187880,1.229184
100,-0.760528,-0.119941,0.737157,-1.093744,-1.249446,1.342514,-0.088740,-1.394801,1.598972,-3.417914,-1.353785,0.012717,-0.760566,-0.119881,0.737060,-1.093932,-1.249469,1.342331
